created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Tue Feb 28 18:29:38 +0000 2023,1630636360037007360,me leaving taylor's studio with speak now tv up my ass https://t.co/vQ7NBtJY6P,20,13,326,2686,en,1022577601578233862,1630636360037007360,mdinightss,https://twitter.com/mdinightss/status/1630636360037007360,
Tue Feb 28 18:25:55 +0000 2023,1630635425265008642,"BREAKING Marjorie Taylor Greene just attacked Joe Biden for doing nothing"" on America's fentanyl problem, just like she did at the State of the Union.  Let's clear up some real facts though. Joe Biden has seized fentanyl at the US border at a greater rate than any President in… https://t.co/7zb5ldkvTL""",290,3486,2888,8619,en,132339474,1630635425265008642,EdKrassen,https://twitter.com/EdKrassen/status/1630635425265008642,
Tue Feb 28 18:08:46 +0000 2023,1630631106906058752,Taz Taylor speaks 🗣 https://t.co/zOgxHtdzew,8,4,103,327,en,1225263175454613504,1630631106906058752,therealugs,https://twitter.com/therealugs/status/1630631106906058752,
Tue Feb 28 18:03:37 +0000 2023,1630629812023840768,Congratulations to Taylor Mikesell for being named to the All-Big Ten First Team ‼️  #GoBucks https://t.co/AfDq2L36P1,3,7,54,609,en,900280416,1630629812023840768,OhioStateWBB,https://twitter.com/OhioStateWBB/status/1630629812023840768,
Tue Feb 28 17:53:59 +0000 2023,1630627389100421120,"'Gavin is obviously crushed. It’s a huge blow.'  Gavin Lux, expected to be the everyday shortstop for the #Dodgers in 2023, is now out for the season. On the injury and how it impacts Miguel Rojas, Chris Taylor and Mookie Betts: https://t.co/b4Fsjhpkt0 https://t.co/CKfKYCrJti",35,32,81,619,en,572325732,1630627389100421120,DodgerInsider,https://twitter.com/DodgerInsider/status/1630627389100421120,
Tue Feb 28 17:49:18 +0000 2023,1630626209972334595,What a defence btw!   - AJ stepped into Juranovic's shoes quicker than I thought anyone would  the man's a unit  - Starfelt &amp  CCV remain unbeaten in the league &amp  continue to get better - Greg Taylor is having the season of his life   They just make it look easy 🍀🏆 https://t.co/FFPxGqxezG,4,10,53,2155,en,1195396883931435014,1630626209972334595,Fitzy__07,https://twitter.com/Fitzy__07/status/1630626209972334595,
Tue Feb 28 17:44:59 +0000 2023,1630625123697868811,"'Style' by Taylor Swift earned over 1 MILLION daily streams again yesterday — for the 3rd time EVER!  Taylor Swift's Top Songs Daily: 1 Anti-Hero — 2,796,676 2 Lavender Haze — 1,331,807 3 Blank Space — 1,183,935 4 cardigan — 1,063,839 5 Style — 1,009,513 6 Midnight Rain — 964,192… https://t.co/OzuVaZLyIn",11,19,63,959,en,1460491409018994691,1630625123697868811,SpotifySwiftie,https://twitter.com/SpotifySwiftie/status/1630625123697868811,
Tue Feb 28 17:38:52 +0000 2023,1630623583906172928,"Marjorie Taylor Greene: The Biden administration is failing this country by not protecting our border and securing our border and stopping Chinese Fentanyl from being brought into our country illegally by the cartels and people are dying every single day because of it."" https://t.co/pKasp5gK8K""",15,24,259,478,en,1491227330781536260,1630623583906172928,RealMacReport,https://twitter.com/RealMacReport/status/1630623583906172928,
Tue Feb 28 17:36:33 +0000 2023,1630622999618670593,i need him to leave us and taylor alone and stop reacting to her albums https://t.co/rcme7sRlnI,43,45,30,484,en,1279645721524703239,1630622999618670593,nickputation,https://twitter.com/nickputation/status/1630622999618670593,
Tue Feb 28 17:35:32 +0000 2023,1630622745842139148,"Edmonton has turned lottery picks Nail Yakupov, Jesse Puljujarvi and Taylor hall into Patrik Puistola.",22,79,186,2362,en,890758396831334400,1630622745842139148,worldhockeyrpt,https://twitter.com/worldhockeyrpt/status/1630622745842139148,
Tue Feb 28 17:27:37 +0000 2023,1630620752893427744,Nobody is better at building Lego’s than Taylor Heinicke https://t.co/Y0HxraEs1u,4,7,41,673,en,1313580869173620741,1630620752893427744,Barstooldmv,https://twitter.com/Barstooldmv/status/1630620752893427744,
Tue Feb 28 17:21:03 +0000 2023,1630619100991963142,Ron Rivera on Sam Howell: “He’s not our starter. He’s coming in as QB1 and he’ll get a chance to be the starter.”   He added they’re looking to add a veteran and indicated Taylor Heinicke could be in the mix.,27,42,56,328,en,14212076,1630619100991963142,NickiJhabvala,https://twitter.com/NickiJhabvala/status/1630619100991963142,
Tue Feb 28 17:19:07 +0000 2023,1630618614658371584,"The Dodgers’ acquisition of Miguel Rojas is now extremely significant with the loss of Gavin Lux.  He and Chris Taylor will be the shortstops, unless the Dodgers decide to make another move.  Potential trade options include:  Willy Adames Tim Anderson Amed Rosario Luis Rengifo",13,33,22,448,en,2707609341,1630618614658371584,noahcamras,https://twitter.com/noahcamras/status/1630618614658371584,
Tue Feb 28 17:16:11 +0000 2023,1630617873277411328,"Gavin Lux is expected to miss all of 2023 after suffering a torn ACL.   The Dodgers' infield depth was already pretty thin. Now, they're going to have to get creative.  Miguel Rojas? Chris Taylor? A trade?  What the hell are the Dodgers going to do?  https://t.co/69JSzTYw2v",38,90,60,838,en,1103405828856397825,1630617873277411328,BlakeHHarris,https://twitter.com/BlakeHHarris/status/1630617873277411328,
Tue Feb 28 17:15:06 +0000 2023,1630617604409770012,"Far-right congresswoman Marjorie Taylor Greene (R-GA) recently made headlines when she advocated for a “national divorce” of red and blue states. The Onion asked conservatives why they support secession, and this is what they said. https://t.co/iJx7dxKnkR",8,28,55,497,en,14075928,1630617604409770012,TheOnion,https://twitter.com/TheOnion/status/1630617604409770012,
Tue Feb 28 17:08:38 +0000 2023,1630615974708912128,@Djarmstead22 Josh after drake give him 2 shots of casamigos and some Taylor port😂 https://t.co/EqV2GodzHV,3,1,37,325,en,228804130,1630409135635267587,ninawhereareyou,https://twitter.com/ninawhereareyou/status/1630615974708912128,Djarmstead22
